Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"1.442.575,34",,"TG Wesuwermoor – 49716 Meppen, Stadt",/karten/agrarsubventionen_2021-empfaenger15d2066fce60cc45f64fbb2f731f9f66.html,"Emsland, Landkreis","/karten/emsland,_landkreis-agrarsubventionen_2021-landkreis_3454.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger15d2066fce60cc45f64fbb2f731f9f66.html,
"1.439.951,88",,"Marktgemeinschaft Bodenseeobst – 88045 Friedrichshafen, Stadt",/karten/agrarsubventionen_2021-empfaenger29740fa7fb346d1042658f3704a71c5a.html,"Bodenseekreis, Landkreis","/karten/bodenseekreis,_landkreis-agrarsubventionen_2021-landkreis_8435.html",Baden-Württemberg,/karten/baden-württemberg-agrarsubventionen_2021-bundesland_3de1eff1f013e413457d6de70c7dc493.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger29740fa7fb346d1042658f3704a71c5a.html,
"1.439.320,38",,Gemeinde Pellworm – 25849 Pellworm,/karten/agrarsubventionen_2021-empfaenger2a1ac221c74bae47ef80d0ad8ed8dd6f.html,"Nordfriesland, Landkreis","/karten/nordfriesland,_landkreis-agrarsubventionen_2021-landkreis_1054.html",Schleswig-Holstein,/karten/schleswig-holstein-agrarsubventionen_2021-bundesland_b20684bddefbc33f6db8d8adbf6bc4e7.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger2a1ac221c74bae47ef80d0ad8ed8dd6f.html,
"1.438.290,82",,"Salzlandkreis – 06406 Bernburg (Saale), Stadt",/karten/agrarsubventionen_2021-empfaengerbb3e9f8a91037c33f9183ef1dbffec32.html,Salzlandkreis,/karten/salzlandkreis-agrarsubventionen_2021-landkreis_15089.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerbb3e9f8a91037c33f9183ef1dbffec32.html,
"1.426.604,23",,Gemeinde Elsteraue – 06729 Elsteraue,/karten/agrarsubventionen_2021-empfaenger0ab0bdb5aa61d66b99df571be383ca9e.html,Burgenlandkreis,/karten/burgenlandkreis-agrarsubventionen_2021-landkreis_15084.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger0ab0bdb5aa61d66b99df571be383ca9e.html,
"1.425.568,18",,"Agrar GmbH Crawinkel/Thüringen – 99885 Ohrdruf, Stadt",/karten/agrarsubventionen_2021-empfaenger6b449046477f313b66e3b7205915a410.html,"Gotha, Kreis","/karten/gotha,_kreis-agrarsubventionen_2021-landkreis_16067.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger6b449046477f313b66e3b7205915a410.html,"334.467,16 €"
"1.423.379,45",,"Ministerium der Finanzen – 39104 Magdeburg, Landeshauptstadt",/karten/agrarsubventionen_2021-empfaenger7adccb91ef7c4d368ca0b1ba5983ac40.html,"Magdeburg, Kreisfreie Stadt","/karten/magdeburg,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_15003.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger7adccb91ef7c4d368ca0b1ba5983ac40.html,
"1.420.809,76",,"Stadt Schwaan – 18258 Schwaan, Stadt",/karten/agrarsubventionen_2021-empfaenger874253e1590044a003546da9aaf478f8.html,Landkreis Rostock,/karten/landkreis_rostock-agrarsubventionen_2021-landkreis_13072.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger874253e1590044a003546da9aaf478f8.html,
"1.413.927,47",,"Stadt Elze – 31008 Elze, Stadt",/karten/agrarsubventionen_2021-empfaenger584c84bba877a9ceaf2a59d76e265471.html,"Hildesheim, Landkreis","/karten/hildesheim,_landkreis-agrarsubventionen_2021-landkreis_3254.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger584c84bba877a9ceaf2a59d76e265471.html,
"1.412.642,64",,"Agrargenossenschaft Königsee eG – 07426 Königsee, Stadt",/karten/agrarsubventionen_2021-empfaengerbb7b49250a4ad9a910a2837e42feb4ab.html,"Saalfeld-Rudolstadt, Kreis","/karten/saalfeld-rudolstadt,_kreis-agrarsubventionen_2021-landkreis_16073.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerbb7b49250a4ad9a910a2837e42feb4ab.html,"425.688,91 €"
