Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"729.288,57",,Agrar GmbH Mauderode-Herreden – 99735 Werther,/karten/agrarsubventionen_2021-empfaenger7f8431478845608d6ce15e19e7f77669.html,"Nordhausen, Kreis","/karten/nordhausen,_kreis-agrarsubventionen_2021-landkreis_16062.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger7f8431478845608d6ce15e19e7f77669.html,"316.977,27 €"
"728.877,11",,"AgriCo Lindau Naturprodukte AG – 39261 Zerbst/Anhalt, Stadt",/karten/agrarsubventionen_2021-empfaengerd07f1214eee8c5fcfcdea95f26428bc7.html,"Anhalt-Bitterfeld, Landkreis","/karten/anhalt-bitterfeld,_landkreis-agrarsubventionen_2021-landkreis_15082.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerd07f1214eee8c5fcfcdea95f26428bc7.html,"459.038,03 €"
"728.860,05",,AG Stölln e.G. – 14728 Gollenberg,/karten/agrarsubventionen_2021-empfaenger9758069bc70c3af6175c264e88ec4472.html,"Havelland, Landkreis","/karten/havelland,_landkreis-agrarsubventionen_2021-landkreis_12063.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger9758069bc70c3af6175c264e88ec4472.html,"366.732,73 €"
"728.224,13",,Agrargenossenschaft Oberwiera e.G. vertreten durch den Vorstand – 08396 Oberwiera,/karten/agrarsubventionen_2021-empfaenger945e2ef21c198591a074e38be72bce5b.html,"Zwickau, Landkreis","/karten/zwickau,_landkreis-agrarsubventionen_2021-landkreis_14524.html",Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger945e2ef21c198591a074e38be72bce5b.html,"217.983,49 €"
"727.410,77",,"Quellendorfer Landwirte GbR – 06386 Südliches Anhalt, Stadt",/karten/agrarsubventionen_2021-empfaengerfdce1cdcf0e4d7068b76a999292dcaef.html,"Anhalt-Bitterfeld, Landkreis","/karten/anhalt-bitterfeld,_landkreis-agrarsubventionen_2021-landkreis_15082.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerfdce1cdcf0e4d7068b76a999292dcaef.html,"447.898,49 €"
"727.268,40",,"AgrarGen.Querfurt eG – 06268 Querfurt, Stadt",/karten/agrarsubventionen_2021-empfaenger657385b74e85420edf3513a176f90eaf.html,Saalekreis,/karten/saalekreis-agrarsubventionen_2021-landkreis_15088.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger657385b74e85420edf3513a176f90eaf.html,"479.833,49 €"
"726.573,84",,Biohof am Eichenweg GmbH – 17213 Fünfseen,/karten/agrarsubventionen_2021-empfaengere6e43ab0b2649a1545104fc7fcb7dd5b.html,Landkreis Mecklenburgische Seenplatte,/karten/landkreis_mecklenburgische_seenplatte-agrarsubventionen_2021-landkreis_13071.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengere6e43ab0b2649a1545104fc7fcb7dd5b.html,"2.386,70 €"
"725.465,22",,Gemeinde Holle – 31188 Holle,/karten/agrarsubventionen_2021-empfaenger7c759e8f63ec244fe90d6a2977d8bdca.html,"Hildesheim, Landkreis","/karten/hildesheim,_landkreis-agrarsubventionen_2021-landkreis_3254.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger7c759e8f63ec244fe90d6a2977d8bdca.html,
"724.851,44",,"Agrargesellschaft  Griesheim mbH – 99326 Stadtilm, Stadt",/karten/agrarsubventionen_2021-empfaengerd6a79df8608279ee8c0c38bef523a11a.html,Ilm-Kreis,/karten/ilm-kreis-agrarsubventionen_2021-landkreis_16070.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerd6a79df8608279ee8c0c38bef523a11a.html,"422.305,71 €"
"723.977,45",,Gut Wamckow GmbH & Co. KG – 19406 Kobrow,/karten/agrarsubventionen_2021-empfaenger339961b90fb0c0ed87d5dec029a9b6e1.html,Landkreis Ludwigslust-Parchim,/karten/landkreis_ludwigslust-parchim-agrarsubventionen_2021-landkreis_13076.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger339961b90fb0c0ed87d5dec029a9b6e1.html,"469.349,81 €"
"723.585,59",,PDA  Alt Zeschdorf GmbH – 15326 Zeschdorf,/karten/agrarsubventionen_2021-empfaenger17b3c55db2553f79728e1b19b790ba26.html,"Märkisch-Oderland, Landkreis","/karten/märkisch-oderland,_landkreis-agrarsubventionen_2021-landkreis_12064.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger17b3c55db2553f79728e1b19b790ba26.html,"436.001,32 €"
"722.994,33",,"Agrarunternehmen  ""Wöllmisse"" Schlöben e.G. – 07646 Stadtroda, Stadt",/karten/agrarsubventionen_2021-empfaenger8f89363cb0356c64e5b66b2a77dbb3a4.html,Saale-Holzland-Kreis,/karten/saale-holzland-kreis-agrarsubventionen_2021-landkreis_16074.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger8f89363cb0356c64e5b66b2a77dbb3a4.html,"367.174,36 €"
"722.491,00",,"Agrargenossenschaft GeRoMe eG – 15936 Dahme/Mark, Stadt",/karten/agrarsubventionen_2021-empfaenger62ba221f3e5abf9c1d601b62a435b40f.html,"Teltow-Fläming, Landkreis","/karten/teltow-fläming,_landkreis-agrarsubventionen_2021-landkreis_12072.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger62ba221f3e5abf9c1d601b62a435b40f.html,"435.786,11 €"
"721.599,16",,Böhm - Nordkartoffel Agrarproduktion GmbH & Co. OHG – 17111 Hohenmocker,/karten/agrarsubventionen_2021-empfaenger9b57cd98d4cf07f513db8b8848301716.html,Landkreis Mecklenburgische Seenplatte,/karten/landkreis_mecklenburgische_seenplatte-agrarsubventionen_2021-landkreis_13071.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger9b57cd98d4cf07f513db8b8848301716.html,"473.460,16 €"
"14.374.680,49",,"Landesamt für Umwelt  (LfU) – 14476 Potsdam, Stadt",/karten/agrarsubventionen_2021-empfaengerebf6bcece1c0fbe5bc8242ee3e03e8c5.html,"Potsdam, Kreisfreie Stadt","/karten/potsdam,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_12054.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerebf6bcece1c0fbe5bc8242ee3e03e8c5.html,
"13.036.203,77",,"Landesbetr. f.Hochwasserschutz u. Wasserwirtsch. (LHW) – 39104 Magdeburg, Landeshauptstadt",/karten/agrarsubventionen_2021-empfaenger32809e0590643441b0d9780d485d3a6c.html,"Magdeburg, Kreisfreie Stadt","/karten/magdeburg,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_15003.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger32809e0590643441b0d9780d485d3a6c.html,
"12.649.000,18",,"Land Mecklenburg-Vorpommern Ministerium für – 19061 Schwerin, Landeshauptstadt",/karten/agrarsubventionen_2021-empfaenger22becefcfe9631bdec63c6f251515d00.html,"Kreisfreie Stadt Schwerin, Landeshauptstadt","/karten/kreisfreie_stadt_schwerin,_landeshauptstadt-agrarsubventionen_2021-landkreis_13004.html",Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger22becefcfe9631bdec63c6f251515d00.html,
"11.627.751,47",,Pfalzmarkt für Obst- und Gemüse eG – 67112 Mutterstadt,/karten/agrarsubventionen_2021-empfaengerdeaa1f68835ed0e125a8f75ad553f6b4.html,Rhein-Pfalz-Kreis,/karten/rhein-pfalz-kreis-agrarsubventionen_2021-landkreis_7338.html,Rheinland-Pfalz,/karten/rheinland-pfalz-agrarsubventionen_2021-bundesland_1e48bdafa9f37c0c2195f630131a1aec.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerdeaa1f68835ed0e125a8f75ad553f6b4.html,
"8.961.872,37",,"ML-Verwaltungsbehörde/Ref. 305 – 30169 Hannover, Landeshauptstadt",/karten/agrarsubventionen_2021-empfaenger9766e0c05b177b757823d283ecd7dc00.html,"Region Hannover, Landkreis","/karten/region_hannover,_landkreis-agrarsubventionen_2021-landkreis_3241.html",Niedersachsen,/karten/niedersachsen-agrarsubventionen_2021-bundesland_032f311e743ecca8a33a292f451d151a.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger9766e0c05b177b757823d283ecd7dc00.html,
"8.190.050,72",,"Landesbetrieb für Küstenschutz Nationalpark und Meeresschutz – 25813 Husum, Stadt",/karten/agrarsubventionen_2021-empfaenger4470163d60944758726173c067d67d17.html,"Nordfriesland, Landkreis","/karten/nordfriesland,_landkreis-agrarsubventionen_2021-landkreis_1054.html",Schleswig-Holstein,/karten/schleswig-holstein-agrarsubventionen_2021-bundesland_b20684bddefbc33f6db8d8adbf6bc4e7.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger4470163d60944758726173c067d67d17.html,
"7.959.301,03",,"Ministerium f.Ernährung u. Län – 70182 Stuttgart, Landeshauptstadt",/karten/agrarsubventionen_2021-empfaenger05290c637245784fd1964e59699ba342.html,"Stuttgart, Landeshauptstadt, Stadtkreis","/karten/stuttgart,_landeshauptstadt,_stadtkreis-agrarsubventionen_2021-landkreis_8111.html",Baden-Württemberg,/karten/baden-württemberg-agrarsubventionen_2021-bundesland_3de1eff1f013e413457d6de70c7dc493.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger05290c637245784fd1964e59699ba342.html,
"7.926.045,44",,"Landesbetrieb Forst Brandenburg – 14473 Potsdam, Stadt",/karten/agrarsubventionen_2021-empfaengerf838e5c2a89af2be3c05f7f0d233cf29.html,"Potsdam, Kreisfreie Stadt","/karten/potsdam,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_12054.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerf838e5c2a89af2be3c05f7f0d233cf29.html,
"7.722.477,85",,"SMUL – 01076 Dresden, Stadt",/karten/agrarsubventionen_2021-empfaenger80efb6d66b0385aa8a857ec2d5b77e9c.html,"Potsdam, Kreisfreie Stadt","/karten/potsdam,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_12054.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger80efb6d66b0385aa8a857ec2d5b77e9c.html,
"6.633.739,74",,"Landgard Obst + Gemüse GmbH + Co. KG – 47638 Straelen, Stadt",/karten/agrarsubventionen_2021-empfaenger4754cbd51b1116f77b230652b88fe467.html,"Kleve, Kreis","/karten/kleve,_kreis-agrarsubventionen_2021-landkreis_5154.html",Nordrhein-Westfalen,/karten/nordrhein-westfalen-agrarsubventionen_2021-bundesland_0376b90efccf6a11e5c2ab073c62b120.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger4754cbd51b1116f77b230652b88fe467.html,
